ID_SEATMAPINFO,CMP_DATEVARIATION,CMP_DEPARTURELOCATION,CMP_ARRIVALLOCATION,CMP_MARKETINGAIRLINE,CMP_OPERATINGAIRLINE,CMP_FLIGHTNUMBER,CMP_RESERVATIONDESIGNATOR,CMP_OPERATIONALSUFFIX,CMP_AIRPORTCODE,CMP_TERMINALNAME,CMP_IATAAIRCRAFTTYPE,CMP_ACVVERSIONNO,CMP_ACVDEFAULTCONFIGCODE,CMP_ACVAIRLINEDETAIL,CMP_ACVCODE,CMP_ACVCHARACTERISTIC1,CMP_ACVCHARACTERISTIC2,CMP_ACVDESCRIPTION,ID_CMPMESSAGE,CMP_PRICING_SUBJECTQUALIFIER,CMP_PRICING_INFO_TYPE,CMP_PRICING_STATUS,CMP_PRICING_COMPANYID,CMP_PRICING_LANGUAGE,CMP_PRICING_SOURCE,CMP_PRICING_ENCODING,CMP_PRICING_FREETEXT,CMP_COMM_SUBJECTQUALIFIER,CMP_COMM_INFO_TYPE,CMP_COMM_STATUS,CMP_COMM_COMPANYID,CMP_COMM_LANGUAGE,CMP_COMM_SOURCE,CMP_COMM_ENCODING,CMP_COMM_FREETEXT,DWH_SNAPSHOTTIMESTAMP,CMP_AIRPORTCODE2,CMP_TERMINALNAME2,CMP_DEPDATETIME
481575,0,BKI,KUL,MH,MH,2621,,,BKI,1,738,,1,MH FOR MH,738,,,,481575,,,,,,,,,,,,,,,,,29MAY2022:06:57:41.987,KUL,M,28MAY2022:11:35:00.000
481576,0,KUL,LBU,MH,MH,2634,,,KUL,M,738,,1,MH FOR MH,738,,,,481576,,,,,,,,,,,,,,,,,29MAY2022:07:08:01.367,LBU,,28MAY2022:14:40:00.000
481577,0,LBU,KUL,MH,MH,2635,,,LBU,,738,,1,MH FOR MH,738,,,,481577,,,,,,,,,,,,,,,,,29MAY2022:07:13:52.070,KUL,M,28MAY2022:17:55:00.000
481578,0,LBU,KUL,MH,MH,2635,,D,LBU,,738,,1,MH FOR MH,738,,,,481578,,,,,,,,,,,,,,,,,29MAY2022:07:21:42.070,KUL,M,28MAY2022:09:00:00.000
481579,0,KUL,BKI,MH,MH,2638,,,KUL,M,332,,1,MH FOR MH,332,,,,481579,,,,,,,,,,,,,,,,,29MAY2022:07:34:08.750,BKI,1,28MAY2022:18:10:00.000
481580,0,BKI,KUL,MH,MH,2641,,,BKI,1,738,,1,MH FOR MH,738,,,,481580,,,,,,,,,,,,,,,,,29MAY2022:07:41:08.607,KUL,M,28MAY2022:15:00:00.000
481581,0,BKI,KUL,MH,MH,2645,,,BKI,1,738,,1,MH FOR MH,738,,,,481581,,,,,,,,,,,,,,,,,29MAY2022:07:47:14.350,KUL,M,28MAY2022:17:30:00.000
481582,0,KUL,BKI,MH,MH,2646,,,KUL,M,738,,1,MH FOR MH,738,,,,481582,,,,,,,,,,,,,,,,,29MAY2022:07:55:39.480,BKI,1,28MAY2022:11:35:00.000
481583,0,KUL,TWU,MH,MH,2660,,,KUL,M,738,,1,MH FOR MH,738,,,,481583,,,,,,,,,,,,,,,,,29MAY2022:08:01:14.027,TWU,,28MAY2022:07:15:00.000
481584,0,TWU,KUL,MH,MH,2661,,,TWU,,738,,1,MH FOR MH,738,,,,481584,,,,,,,,,,,,,,,,,29MAY2022:08:09:18.253,KUL,M,28MAY2022:11:05:00.000
