ID_INPUTFILES,CM_LOADDTETIME,CM_INPUTFILENAME,CM_SRCEENVIRONMENT,CM_MSGCODE,CM_ALNCODE,CM_FLTNUM,CM_OPLSUFFIX,CM_BOARDPT,CM_FLIGHTDTE,DWH_SNAPSHOTTIMESTAMP,CM_TRIGGER_DATETIME
481646,29MAY2022:06:52:03.897,PRD.CML.MH2621.BKI.D220528.DATA,PRD,CML,MH,2621,,BKI,28-May-22,29MAY2022:06:52:03.887,28MAY2022:04:07:00.000
481647,29MAY2022:07:03:52.197,PRD.CML.MH2634.KUL.D220528.DATA,PRD,CML,MH,2634,,KUL,28-May-22,29MAY2022:07:03:52.197,28MAY2022:07:16:00.000
481648,29MAY2022:07:12:26.250,PRD.CML.MH2635.LBU.D220528.DATA,PRD,CML,MH,2635,,LBU,28-May-22,29MAY2022:07:12:26.240,28MAY2022:10:27:00.000
481649,29MAY2022:07:20:45.480,PRD.CML.MH2635D.LBU.D220528.DATA,PRD,CML,MH,2635,D,LBU,28-May-22,29MAY2022:07:20:45.470,28MAY2022:02:05:00.000
481650,29MAY2022:07:25:26.673,PRD.CML.MH2638.KUL.D220528.DATA,PRD,CML,MH,2638,,KUL,28-May-22,29MAY2022:07:25:26.677,28MAY2022:10:43:00.000
481651,29MAY2022:07:35:51.980,PRD.CML.MH2641.BKI.D220528.DATA,PRD,CML,MH,2641,,BKI,28-May-22,29MAY2022:07:35:51.967,28MAY2022:07:39:00.000
481652,29MAY2022:07:45:10.840,PRD.CML.MH2645.BKI.D220528.DATA,PRD,CML,MH,2645,,BKI,28-May-22,29MAY2022:07:45:10.820,28MAY2022:10:17:00.000
481653,29MAY2022:07:52:44.050,PRD.CML.MH2646.KUL.D220528.DATA,PRD,CML,MH,2646,,KUL,28-May-22,29MAY2022:07:52:44.053,28MAY2022:04:09:00.000
481654,29MAY2022:07:58:04.803,PRD.CML.MH2660.KUL.D220528.DATA,PRD,CML,MH,2660,,KUL,28-May-22,29MAY2022:07:58:04.820,27MAY2022:23:48:00.000
481655,29MAY2022:08:04:05.817,PRD.CML.MH2661.TWU.D220528.DATA,PRD,CML,MH,2661,,TWU,28-May-22,29MAY2022:08:04:05.810,28MAY2022:03:35:00.000
481656,29MAY2022:08:11:25.160,PRD.CML.MH2664.KUL.D220528.DATA,PRD,CML,MH,2664,,KUL,28-May-22,29MAY2022:08:11:25.147,28MAY2022:06:58:00.000
481657,29MAY2022:08:17:41.710,PRD.CML.MH2665.TWU.D220528.DATA,PRD,CML,MH,2665,,TWU,28-May-22,29MAY2022:08:17:41.710,28MAY2022:10:28:00.000
481658,29MAY2022:08:21:06.187,PRD.CML.MH2710.KUL.D220528.DATA,PRD,CML,MH,2710,,KUL,28-May-22,29MAY2022:08:21:06.170,28MAY2022:02:52:00.000
481659,29MAY2022:08:25:04.787,PRD.CML.MH2711.SDK.D220528.DATA,PRD,CML,MH,2711,,SDK,28-May-22,29MAY2022:08:25:04.780,28MAY2022:06:37:00.000
481660,29MAY2022:08:32:04.470,PRD.CML.MH2712.KUL.D220528.DATA,PRD,CML,MH,2712,,KUL,28-May-22,29MAY2022:08:32:04.483,28MAY2022:01:19:00.000
481661,29MAY2022:08:38:06.337,PRD.CML.MH2713.SBW.D220528.DATA,PRD,CML,MH,2713,,SBW,28-May-22,29MAY2022:08:38:06.350,28MAY2022:07:22:00.000
