ID_BAG_ITIN,CPR_MARKTNG_CARRIER,CPR_FLGHT_NUMBER,CPR_OPT_SUFX,CPR_DEPT_DATE,CPR_BRDPT,CPR_OFFPT,CPR_ARRVDATE,CPR_BAGSTAT_INDC1,CPR_BAGSTAT_INDC2,CPR_BAGSTAT_ACTN1,CPR_BAGSTAT_ACTN2,ID_BAGGAGE_INFO,DWH_SNAPSHOTTIMESTAMP
43445929,MH,2621,,28-May-22,BKI,KUL,,,,,,30816269,29MAY2022:06:59:26.610
43445930,MH,1276,,28-May-22,KUL,KUA,,,,,,30816269,29MAY2022:06:59:26.610
43445931,MH,2621,,28-May-22,BKI,KUL,,,,,,30816270,29MAY2022:06:59:26.610
43445932,MH,2638,,25-May-22,KUL,BKI,,,,,,30816271,29MAY2022:06:59:26.610
43445933,MH,2621,,28-May-22,BKI,KUL,,,,,,30816272,29MAY2022:06:59:26.610
43445934,MH,2621,,28-May-22,BKI,KUL,,,,,,30816273,29MAY2022:06:59:26.627
43445935,MH,1396,,28-May-22,KUL,KBR,,,,,,30816273,29MAY2022:06:59:26.627
43445936,MH,2621,,28-May-22,BKI,KUL,,,,,,30816274,29MAY2022:06:59:26.627
43445937,MH,1396,,28-May-22,KUL,KBR,,,,,,30816274,29MAY2022:06:59:26.627
43445938,MH,2621,,28-May-22,BKI,KUL,,,,,,30816275,29MAY2022:06:59:26.643
43445939,MH,613,,28-May-22,KUL,SIN,,,,,,30816275,29MAY2022:06:59:26.643
43445940,UA,2,,29-May-22,SIN,SFO,,,,,,30816275,29MAY2022:06:59:26.643
43445941,MH,2621,,28-May-22,BKI,KUL,,,,,,30816276,29MAY2022:06:59:26.643
43445942,MH,1327,,22-May-22,TGG,KUL,,,,,,30816277,29MAY2022:06:59:26.643
43445943,MH,7424,,22-May-22,KUL,TWU,,,,,,30816277,29MAY2022:06:59:26.643
43445944,MH,2621,,28-May-22,BKI,KUL,,,,,,30816278,29MAY2022:06:59:26.660
43445945,MH,1336,,28-May-22,KUL,TGG,,,,,,30816278,29MAY2022:06:59:26.660
43445946,MH,2640,,26-May-22,KUL,BKI,,,,,,30816279,29MAY2022:06:59:26.660
43445947,MH,2639,,27-May-22,BKI,KUL,,,,,,30816280,29MAY2022:06:59:26.660
43445948,MH,2621,,28-May-22,BKI,KUL,,,,,,30816281,29MAY2022:06:59:26.660
43445949,MH,2621,,28-May-22,BKI,KUL,,,,,,30816282,29MAY2022:06:59:26.673
43445950,MH,2621,,28-May-22,BKI,KUL,,,,,,30816283,29MAY2022:06:59:26.673
43445951,MH,2621,,28-May-22,BKI,KUL,,,,,,30816284,29MAY2022:06:59:26.690
43445952,MH,2621,,28-May-22,BKI,KUL,,,,,,30816285,29MAY2022:06:59:26.690
43445953,MH,2646,,22-May-22,KUL,BKI,,,,,,30816286,29MAY2022:06:59:26.690
43445954,MH,2621,,28-May-22,BKI,KUL,,,,,,30816287,29MAY2022:06:59:26.707
43445955,MH,2646,,22-May-22,KUL,BKI,,,,,,30816288,29MAY2022:06:59:26.707
43445956,MH,2646,,22-May-22,KUL,BKI,,,,,,30816289,29MAY2022:06:59:26.707
43445957,MH,2612,,26-May-22,KUL,BKI,,,,,,30816290,29MAY2022:06:59:26.707
43445958,MH,2621,,28-May-22,BKI,KUL,,,,,,30816291,29MAY2022:06:59:26.720
43445959,MH,2621,,28-May-22,BKI,KUL,,,,,,30816292,29MAY2022:06:59:26.720
43445960,MH,1396,,28-May-22,KUL,KBR,,,,,,30816292,29MAY2022:06:59:26.720
43445961,MH,2621,,28-May-22,BKI,KUL,,,,,,30816293,29MAY2022:06:59:26.737
43445962,MH,2621,,28-May-22,BKI,KUL,,,,,,30816294,29MAY2022:06:59:26.737
43445963,MH,2621,,28-May-22,BKI,KUL,,,,,,30816295,29MAY2022:06:59:26.737
43445964,MH,3013,,28-May-22,LDU,BKI,,,,,,30816296,29MAY2022:06:59:26.753
