CPR_CARRIERID,CPR_NUMBER,CPR_STATUS,CPR_TIERLEVEL,CPR_PRIORITYCODE,ID_CUSTFQTVINFO,ID_CUSTOMERLEVEL,CCP_SSRCODE,CPR_REFQUALIFIER,CPR_PRIMEID,CPR_COMPANYID,DWH_SNAPSHOTTIMESTAMP
MH,334466241,OK,BLUE,,8263772,54144805,FQTV,,,MH,29MAY2022:09:06:40.003
MH,60182485,OK,PLAT,EMER,8263773,54144830,FQTV,,,MH,29MAY2022:09:06:41.737
MH,332429591,OK,BLUE,,8263774,54144839,FQTV,,,MH,29MAY2022:09:06:42.770
MH,334271383,OK,BLUE,,8263775,54144850,FQTV,,,MH,29MAY2022:09:06:43.330
MH,324671546,OK,BLUE,,8263776,54144854,FQTV,,,MH,29MAY2022:09:06:43.627
MH,308970233,OK,BLUE,,8263777,54144855,FQTV,,,MH,29MAY2022:09:06:43.703
MH,601942633,OK,SLVR,RUBY,8263778,54144858,FQTV,,,MH,29MAY2022:09:06:43.860
MH,305745591,OK,BLUE,,8263779,54144864,FQTV,,,MH,29MAY2022:09:06:44.660
MH,305745613,OK,BLUE,,8263780,54144865,FQTV,,,MH,29MAY2022:09:06:45.020
MH,305745635,OK,BLUE,,8263781,54144866,FQTV,,,MH,29MAY2022:09:06:45.113
MH,305745510,OK,BLUE,,8263782,54144867,FQTV,,,MH,29MAY2022:09:06:45.410
MH,326403151,OK,BLUE,,8263783,54144868,FQTV,,,MH,29MAY2022:09:06:45.787
MH,325845844,OK,BLUE,,8263784,54144878,FQTV,,,MH,29MAY2022:09:06:51.553
MH,332802956,OK,BLUE,,8263785,54144892,FQTV,,,MH,29MAY2022:09:06:58.263
MH,325896686,OK,BLUE,,8263786,54144909,FQTV,,,MH,29MAY2022:09:07:07.923
MH,601253192,OK,BLUE,,8263787,54144912,FQTV,,,MH,29MAY2022:09:07:09.270
MH,332678334,OK,BLUE,,8263788,54144919,FQTV,,,MH,29MAY2022:09:07:11.940
MH,327989911,OK,BLUE,,8263789,54144939,FQTV,,,MH,29MAY2022:09:13:58.267
MH,322296936,OK,BLUE,,8263790,54144950,FQTV,,,MH,29MAY2022:09:13:58.737
MH,306414920,OK,GOLD,SAPH,8263791,54144955,FQTV,,,MH,29MAY2022:09:13:59.097
AF,1734088531,OK,GOLD,ELIP,8263792,54144956,FQTV,UCI,2005F07F00047818,MH,29MAY2022:09:13:59.127
MH,334690646,OK,BLUE,,8263793,54144982,FQTV,,,MH,29MAY2022:09:14:00.987
MH,601942633,OK,SLVR,RUBY,8263794,54144997,FQTV,,,MH,29MAY2022:09:14:01.567
EK,272829222,OK,GOLD,,8263795,54144998,FQTV,,,MH,29MAY2022:09:14:01.613
MH,333525286,OK,BLUE,,8263796,54144999,FQTV,,,MH,29MAY2022:09:14:01.660
JL,4594447,OK,JMLM,EMER,8263797,54145008,FQTV,,,MH,29MAY2022:09:14:02.143
MH,335098094,OK,BLUE,,8263798,54145020,FQTV,,,MH,29MAY2022:09:14:02.913
MH,332399001,OK,BLUE,,8263799,54145033,FQTV,,,MH,29MAY2022:09:17:02.477
MH,334949355,OK,BLUE,,8263800,54145034,FQTV,,,MH,29MAY2022:09:17:02.537
MH,300262141,OK,BLUE,,8263801,54145069,FQTV,,,MH,29MAY2022:09:17:05.633
QF,4600782,OK,FFPL,EMER,8263802,54145070,FQTV,,,MH,29MAY2022:09:17:05.697
MH,334745202,OK,BLUE,,8263803,54145110,FQTV,,,MH,29MAY2022:09:17:09.073
MH,331889316,OK,BLUE,,8263804,54145117,FQTV,,,MH,29MAY2022:09:17:09.463
MH,601981424,OK,GOLD,SAPH,8263805,54145122,FQTV,,,MH,29MAY2022:09:17:09.780
MH,335027884,OK,BLUE,,8263806,54145123,FQTV,,,MH,29MAY2022:09:17:09.810
MH,12458143,OK,BLUE,,8263807,54145126,FQTV,,,MH,29MAY2022:09:17:09.997
MH,300204026,OK,BLUE,,8263808,54145128,FQTV,,,MH,29MAY2022:09:17:10.247
MH,323015232,OK,SLVR,RUBY,8263809,54145132,FQTV,,,MH,29MAY2022:09:23:47.357
MH,67255613,OK,SLVR,RUBY,8263810,54145133,FQTV,,,MH,29MAY2022:09:23:47.403
