CPR_ORIGIN,CPR_DESTINATION,ID_LEGLEVEL_LEGROUTING,CPR_IDENTITERMINAL,CPR_LOCIDENTERMINAL,CPR_TRANSSTAGEQUALIFIER,CPR_AIRLINEDESIGNATOR,CPR_FLIGHTNUMBER,CPR_OPERSUFFIX,CPR_UNIQUEREFERENCE,CPR_ATTRIBUTETYPE,CPR_ATTRIDESCRIPTION,CPR_CLASSDESIGNATOR,CPR_TYPE1,CPR_TYPE2,CPR_VALUE1,CPR_VALUE2,CPR_TEXTSUBQUALIFIER,CPR_CODEDLANGUAGE,CPR_CODEDSOURCE,CPR_ENCODING,CPR_TEXTFREETEXT,CPR_ACTIONREQCODE,CPR_TEXTSEMANTIC,CPR_TEXTLANGUAGE,CPR_TEXTSOURCE,CPR_TEXTENCODING,CPR_FREETEXT,CPR_CLSOFSERVICE,ID_PRODUCTLEVEL,CPR_COACHNUMBER,CPR_TEXTSUBQUALIFIER1,CPR_INFORMATIONTYPE1,CPR_CODEDLANGUAGE1,CPR_CODEDSOURCE1,CPR_ENCODING1,CPR_FREETEXT1,CPR_CODEDINDICATOR,CPR_CODEDACTION,CPR_CODEDSTATUSREASON,CPR_SEATNUMBER,DWH_SNAPSHOTTIMESTAMP
BKI,KUL,156346114,1,M,,,,,,,,,4,,BKI-108,,,,,,,,,,,,,,155680891,,,,,,,,PPD,0,,,29MAY2022:06:57:53.680
KUL,TGG,156346115,M,,,,,,,,,,4,,KUL-096,,,,,,,,,,,,,,155680892,,,,,,,,PPD,0,,,29MAY2022:06:57:53.880
BKI,KUL,156346116,1,M,,,,,,,,,4,,BKI-070,,,,,,,,,,,,,,155680893,,,,,,,,PPD,0,,,29MAY2022:06:57:54.070
KUL,BKI,156346117,M,1,,,,,,,,,,,,,,,,,,,,,,,,,155680894,,,,,,,,PPD,0,,,29MAY2022:06:57:54.210
BKI,KUL,156346118,1,M,,,,,,,,,4,,BKI-116,,,,,,,,,,,,,,155680895,,,,,,,,PPD,0,,,29MAY2022:06:57:54.400
KUL,KBR,156346119,M,,,,,,,,,,4,,KUL-089,,,,,,,,,,,,,,155680896,,,,,,,,PPD,0,,,29MAY2022:06:57:54.567
KBR,KUL,156346120,,,,,,,,,,,,,,,,,,,,,,,,,,,155680897,,,,,,,,PPD,0,,,29MAY2022:06:57:54.693
KUL,BKI,156346121,,,,,,,,,,,,,,,,,,,,,,,,,,,155680898,,,,,,,,PPD,0,,,29MAY2022:06:57:54.783
BKI,KUL,156346122,1,M,,,,,,,,,,,,,3,,M,1,,,,,,,NOSHOW BY ONLOAD PROCESS,,155680899,,,,,,,,PPD,0,,,29MAY2022:06:57:55.003
BKI,KUL,156346123,1,M,,,,,,,,,4,,BKI-157,,,,,,,,,,,,,,155680900,,,,,,,,PPD,0,,,29MAY2022:06:57:55.190
KUL,BKI,156346124,,,,,,,,,,,,,,,,,,,,,,,,,,,155680901,,,,,,,,PPD,0,,,29MAY2022:06:57:55.330
KUL,BKI,156346125,,,,,,,,,,,4,,KUL-059,,,,,,,,,,,,,,155680902,,,,,,,,PPD,0,,,29MAY2022:06:57:55.503
BKI,KUL,156346126,1,M,,,,,,,,,4,,BKI-122,,,,,,,,,,,,,,155680903,,,,,,,,PPD,0,,,29MAY2022:06:57:55.660
KUL,BKI,156346127,,,,,,,,,,,4,,KUL-057,,,,,,,,,,,,,,155680904,,,,,,,,PPD,0,,,29MAY2022:06:57:55.850
