CPR_CODEQUAL,CPR_NATCODE,ID_NATIONALITY,ID_PRODUCTLEVEL,CPR_INDICATOR,CPR_ACTION,DWH_SNAPSHOTTIMESTAMP
2,MYS,122116879,155680891,VSP,N,29MAY2022:06:57:53.617
2,MYS,122116880,155680892,VSP,N,29MAY2022:06:57:53.803
2,MYS,122116881,155680893,VSP,N,29MAY2022:06:57:54.007
2,MYS,122116882,155680895,VSP,N,29MAY2022:06:57:54.320
2,MYS,122116883,155680896,VSP,N,29MAY2022:06:57:54.490
2,MYS,122116884,155680900,VSP,N,29MAY2022:06:57:55.130
2,MYS,122116885,155680902,VSP,N,29MAY2022:06:57:55.457
2,MYS,122116886,155680903,VSP,N,29MAY2022:06:57:55.630
2,MYS,122116887,155680904,VSP,N,29MAY2022:06:57:55.800
2,MYS,122116888,155680905,VSP,N,29MAY2022:06:57:55.973
2,MYS,122116889,155680906,VSP,N,29MAY2022:06:57:56.193
2,MYS,122116890,155680907,VSP,N,29MAY2022:06:57:56.333
2,MYS,122116891,155680908,VSP,N,29MAY2022:06:57:56.490
2,MYS,122116892,155680909,VSP,N,29MAY2022:06:57:56.660
2,MYS,122116893,155680914,VSP,N,29MAY2022:06:57:57.350
2,MYS,122116894,155680916,VSP,N,29MAY2022:06:57:57.693
2,MYS,122116895,155680918,VSP,N,29MAY2022:06:57:58.040
2,MYS,122116896,155680919,VSP,N,29MAY2022:06:57:58.167
2,MYS,122116897,155680920,VSP,N,29MAY2022:06:57:58.337
2,MYS,122116898,155680921,VSP,N,29MAY2022:06:57:58.497
2,MYS,122116899,155680923,VSP,N,29MAY2022:06:57:58.763
2,MYS,122116900,155680925,VSP,N,29MAY2022:06:57:59.077
2,MYS,122116901,155680927,VSP,N,29MAY2022:06:57:59.390
2,MYS,122116902,155680928,VSP,N,29MAY2022:06:57:59.560
2,MYS,122116903,155680930,VSP,N,29MAY2022:06:57:59.857
2,MYS,122116904,155680931,VSP,N,29MAY2022:06:58:00.030
2,MYS,122116905,155680932,VSP,N,29MAY2022:06:58:00.187
2,MYS,122116906,155680933,VSP,N,29MAY2022:06:58:00.373
2,MYS,122116907,155680934,VSP,N,29MAY2022:06:58:00.543
2,MYS,122116908,155680935,VSP,N,29MAY2022:06:58:00.730
2,MYS,122116909,155680936,VSP,N,29MAY2022:06:58:00.853
2,MYS,122116910,155680937,VSP,N,29MAY2022:06:58:01.010
2,MYS,122116911,155680942,VSP,N,29MAY2022:06:58:01.573
2,MYS,122116912,155680944,VSP,N,29MAY2022:06:58:01.857
2,MYS,122116913,155680946,VSP,N,29MAY2022:06:58:02.170
2,MYS,122116914,155680948,VSP,N,29MAY2022:06:58:02.483
2,MYS,122116915,155680950,VSP,N,29MAY2022:06:58:02.767
2,MYS,122116916,155680956,VSP,N,29MAY2022:06:58:03.540
2,SGP,122116917,155680958,VSP,N,29MAY2022:06:58:03.853
2,MYS,122116918,155680959,VSP,N,29MAY2022:06:58:03.963
2,MYS,122116919,155680961,VSP,N,29MAY2022:06:58:04.243
2,MYS,122116920,155680962,VSP,N,29MAY2022:06:58:04.417
2,MYS,122116921,155680963,VSP,N,29MAY2022:06:58:04.573
2,MYS,122116922,155680965,VSP,N,29MAY2022:06:58:04.870
2,MYS,122116923,155680967,VSP,N,29MAY2022:06:58:05.183
2,MYS,122116924,155680970,VSP,N,29MAY2022:06:58:05.623
2,MYS,122116925,155680972,VSP,N,29MAY2022:06:58:06.000
2,MYS,122116926,155680973,VSP,N,29MAY2022:06:58:06.203
2,MYS,122116927,155680974,VSP,N,29MAY2022:06:58:06.390
2,MYS,122116928,155680975,VSP,N,29MAY2022:06:58:06.590
2,MYS,122116929,155680976,VSP,N,29MAY2022:06:58:06.730
2,MYS,122116930,155680977,VSP,N,29MAY2022:06:58:06.870
2,MYS,122116931,155680978,VSP,N,29MAY2022:06:58:07.070
2,MYS,122116932,155680979,VSP,N,29MAY2022:06:58:07.307
2,MYS,122116933,155680993,VSP,N,29MAY2022:06:58:08.870
2,MYS,122116934,155680994,VSP,N,29MAY2022:06:58:09.010
2,MYS,122116935,155680995,VSP,N,29MAY2022:06:58:09.170
2,MYS,122116936,155681036,VSP,N,29MAY2022:06:58:13.780
2,MYS,122116937,155681037,VSP,N,29MAY2022:06:58:13.937
2,MYS,122116938,155681038,VSP,N,29MAY2022:06:58:14.107
2,MYS,122116939,155681056,VSP,N,29MAY2022:06:58:16.137
2,MYS,122116940,155681057,VSP,N,29MAY2022:06:58:16.247
2,MYS,122116941,155681058,VSP,N,29MAY2022:06:58:16.403
2,MYS,122116942,155681099,VSP,N,29MAY2022:06:58:21.227
2,MYS,122116943,155681100,VSP,N,29MAY2022:06:58:21.400
2,MYS,122116944,155681101,VSP,N,29MAY2022:06:58:21.570
2,MYS,122116945,155681106,VSP,N,29MAY2022:06:58:22.240
2,MYS,122116946,155681110,VSP,N,29MAY2022:06:58:22.753
2,MYS,122116947,155681112,VSP,N,29MAY2022:06:58:23.053
2,MYS,122116948,155681113,VSP,N,29MAY2022:06:58:23.270
2,MYS,122116949,155681116,VSP,N,29MAY2022:06:58:23.680
2,MYS,122116950,155681117,VSP,N,29MAY2022:06:58:23.833
2,THA,122116951,155681118,VSP,N,29MAY2022:06:58:24.037
2,MYS,122116952,155681119,VSP,N,29MAY2022:06:58:24.287
2,MYS,122116953,155681120,VSP,N,29MAY2022:06:58:24.507
2,MYS,122116954,155681123,VSP,N,29MAY2022:06:58:25.097
2,MYS,122116955,155681126,VSP,N,29MAY2022:06:58:25.690
2,MYS,122116956,155681130,VSP,N,29MAY2022:06:58:26.303
2,MYS,122116957,155681132,VSP,N,29MAY2022:06:58:26.710
2,MYS,122116958,155681136,VSP,N,29MAY2022:06:58:27.583
2,MYS,122116959,155681138,VSP,N,29MAY2022:06:58:28.003
2,MYS,122116960,155681141,VSP,N,29MAY2022:06:58:28.550
2,MYS,122116961,155681143,VSP,N,29MAY2022:06:58:28.767
2,MYS,122116962,155681144,VSP,N,29MAY2022:06:58:28.927
2,MYS,122116963,155681146,VSP,N,29MAY2022:06:58:29.270
2,MYS,122116964,155681147,VSP,N,29MAY2022:06:58:29.490
2,MYS,122116965,155681149,VSP,N,29MAY2022:06:58:29.847
2,MYS,122116966,155681150,VSP,N,29MAY2022:06:58:30.097
2,MYS,122116967,155681151,VSP,N,29MAY2022:06:58:30.300
2,MYS,122116968,155681154,VSP,N,29MAY2022:06:58:30.860
2,MYS,122116969,155681155,VSP,N,29MAY2022:06:58:31.060
2,MYS,122116970,155681156,VSP,N,29MAY2022:06:58:31.250
2,MYS,122116971,155681158,VSP,N,29MAY2022:06:58:31.610
2,MYS,122116972,155681163,VSP,N,29MAY2022:06:58:32.203
2,MYS,122116973,155681164,VSP,N,29MAY2022:06:58:32.343
2,MYS,122116974,155681175,VSP,N,29MAY2022:06:58:33.670
2,MYS,122116975,155681176,VSP,N,29MAY2022:06:58:33.873
2,MYS,122116976,155681177,VSP,N,29MAY2022:06:58:33.980
2,MYS,122116977,155681191,VSP,N,29MAY2022:06:58:35.530
2,MYS,122116978,155681192,VSP,N,29MAY2022:06:58:35.717
2,MYS,122116979,155681193,VSP,N,29MAY2022:06:58:35.873
2,MYS,122116980,155681207,VSP,N,29MAY2022:06:58:37.510
2,MYS,122116981,155681208,VSP,N,29MAY2022:06:58:37.650
2,MYS,122116982,155681209,VSP,N,29MAY2022:06:58:37.793
2,MYS,122116983,155681223,VSP,N,29MAY2022:06:58:39.387
2,MYS,122116984,155681224,VSP,N,29MAY2022:06:58:39.497
2,MYS,122116985,155681225,VSP,N,29MAY2022:06:58:39.653
2,MYS,122116986,155681230,VSP,N,29MAY2022:06:58:40.197
2,MYS,122116987,155681232,VSP,N,29MAY2022:06:58:40.477
2,MYS,122116988,155681234,VSP,N,29MAY2022:06:58:40.757
2,MYS,122116989,155681240,VSP,N,29MAY2022:06:58:41.493
2,MYS,122116990,155681241,VSP,N,29MAY2022:06:58:41.667
2,MYS,122116991,155681242,VSP,N,29MAY2022:06:58:41.870
2,MYS,122116992,155681243,VSP,N,29MAY2022:06:58:42.070
2,MYS,122116993,155681244,VSP,N,29MAY2022:06:58:42.307
2,MYS,122116994,155681245,VSP,N,29MAY2022:06:58:42.493
2,MYS,122116995,155681246,VSP,N,29MAY2022:06:58:42.710
2,MYS,122116996,155681248,VSP,N,29MAY2022:06:58:42.963
2,CHN,122116997,155681249,VSP,N,29MAY2022:06:58:43.197
2,CHN,122116998,155681250,VSP,N,29MAY2022:06:58:43.370
2,CHN,122116999,155681251,VSP,N,29MAY2022:06:58:43.493
2,MYS,122117000,155681252,VSP,N,29MAY2022:06:58:43.650
2,MYS,122117001,155681253,VSP,N,29MAY2022:06:58:43.777
2,CHN,122117002,155681256,VSP,N,29MAY2022:06:58:44.167
2,MYS,122117003,155681267,VSP,N,29MAY2022:06:58:46.140
2,MYS,122117004,155681268,VSP,N,29MAY2022:06:58:46.340
2,MYS,122117005,155681275,VSP,N,29MAY2022:06:58:46.860
2,MYS,122117006,155681276,VSP,N,29MAY2022:06:58:47.017
2,MYS,122117007,155681283,VSP,N,29MAY2022:06:58:47.953
2,MYS,122117008,155681284,VSP,N,29MAY2022:06:58:48.110
