CPR_OTHERSEVICETYPE,CPR_SEATNUMBER1,CPR_SEATCHAR1,CPR_SEATCHAR2,ID_LEGLEVEL_LEGROUTING,ID_PREFLIGHT_SEATINFO,CPR_SEATNUMBER2,DWH_SNAPSHOTTIMESTAMP
PRE,029C,,,156346114,166172977,,29MAY2022:06:57:53.693
ASN,029C,,N,156346114,166172978,,29MAY2022:06:57:53.693
PRE,029A,,,156346115,166172979,,29MAY2022:06:57:53.880
ASN,029A,,N,156346115,166172980,,29MAY2022:06:57:53.880
ASN,010B,,N,156346116,166172981,,29MAY2022:06:57:54.087
PRE,021B,,,156346118,166172982,,29MAY2022:06:57:54.400
ASN,021B,,N,156346118,166172983,,29MAY2022:06:57:54.400
PRE,026B,,,156346119,166172984,,29MAY2022:06:57:54.583
ASN,026B,,N,156346119,166172985,,29MAY2022:06:57:54.583
ASN,020D,,N,156346123,166172986,,29MAY2022:06:57:55.207
PRE,005C,,,156346125,166172987,,29MAY2022:06:57:55.520
ASN,005C,,N,156346125,166172988,,29MAY2022:06:57:55.520
PRE,005D,,,156346126,166172989,,29MAY2022:06:57:55.660
ASN,005D,,N,156346126,166172990,,29MAY2022:06:57:55.660
PRE,005B,,,156346127,166172991,,29MAY2022:06:57:55.863
ASN,005B,,N,156346127,166172992,,29MAY2022:06:57:55.863
PRE,005E,,,156346128,166172993,,29MAY2022:06:57:56.050
ASN,005E,,N,156346128,166172994,,29MAY2022:06:57:56.050
PRE,,N,,156346129,166172995,,29MAY2022:06:57:56.240
ASN,020A,,N,156346129,166172996,,29MAY2022:06:57:56.240
PRE,,N,,156346130,166172997,,29MAY2022:06:57:56.397
ASN,019B,,N,156346130,166172998,,29MAY2022:06:57:56.397
PRE,,N,,156346131,166172999,,29MAY2022:06:57:56.570
ASN,018D,,N,156346131,166173000,,29MAY2022:06:57:56.570
PRE,,N,,156346132,166173001,,29MAY2022:06:57:56.740
ASN,022C,,N,156346132,166173002,,29MAY2022:06:57:56.740
PRE,004C,,,156346137,166173003,,29MAY2022:06:57:57.427
ASN,004C,,N,156346137,166173004,,29MAY2022:06:57:57.427
PRE,004A,,,156346139,166173005,,29MAY2022:06:57:57.773
ASN,004A,,N,156346139,166173006,,29MAY2022:06:57:57.773
ASN,029E,,N,156346142,166173007,,29MAY2022:06:57:58.227
PRE,016D,,,156346144,166173008,,29MAY2022:06:57:58.543
ASN,016D,,N,156346144,166173009,,29MAY2022:06:57:58.543
PRE,016F,,,156346146,166173010,,29MAY2022:06:57:58.840
ASN,016F,,N,156346146,166173011,,29MAY2022:06:57:58.840
PRE,016E,,,156346148,166173012,,29MAY2022:06:57:59.140
ASN,016E,,N,156346148,166173013,,29MAY2022:06:57:59.153
PRE,007D,,,156346150,166173014,,29MAY2022:06:57:59.450
ASN,007D,,N,156346150,166173015,,29MAY2022:06:57:59.450
PRE,011E,,,156346151,166173016,,29MAY2022:06:57:59.607
ASN,011E,,N,156346151,166173017,,29MAY2022:06:57:59.607
PRE,006F,,,156346153,166173018,,29MAY2022:06:57:59.920
ASN,006F,,N,156346153,166173019,,29MAY2022:06:57:59.920
ASN,009D,,N,156346154,166173020,,29MAY2022:06:58:00.090
ASN,014C,EX,N,156346156,166173021,,29MAY2022:06:58:00.450
ASN,027A,,N,156346157,166173022,,29MAY2022:06:58:00.637
ASN,026B,,N,156346160,166173023,,29MAY2022:06:58:01.073
PRE,016C,,,156346161,166173024,,29MAY2022:06:58:01.133
PRE,017F,,,156346165,166173025,,29MAY2022:06:58:01.653
ASN,017F,,N,156346165,166173026,,29MAY2022:06:58:01.653
PRE,017B,,,156346167,166173027,,29MAY2022:06:58:01.937
ASN,017B,,N,156346167,166173028,,29MAY2022:06:58:01.937
PRE,017E,,,156346169,166173029,,29MAY2022:06:58:02.250
ASN,017E,,N,156346169,166173030,,29MAY2022:06:58:02.250
PRE,017D,,,156346171,166173031,,29MAY2022:06:58:02.547
ASN,017D,,N,156346171,166173032,,29MAY2022:06:58:02.547
PRE,017C,,,156346173,166173033,,29MAY2022:06:58:02.827
ASN,017C,,N,156346173,166173034,,29MAY2022:06:58:02.827
PRE,,N,,156346179,166173035,,29MAY2022:06:58:03.620
ASN,006F,,N,156346179,166173036,,29MAY2022:06:58:03.620
PRE,015D,,,156346181,166173037,,29MAY2022:06:58:03.917
ASN,015D,,N,156346181,166173038,,29MAY2022:06:58:03.917
PRE,003C,,,156346182,166173039,,29MAY2022:06:58:04.010
ASN,003C,,N,156346182,166173040,,29MAY2022:06:58:04.010
PRE,004F,,,156346183,166173041,,29MAY2022:06:58:04.120
ASN,004F,,,156346183,166173042,,29MAY2022:06:58:04.120
PRE,,N,,156346184,166173043,,29MAY2022:06:58:04.323
ASN,029B,,N,156346184,166173044,,29MAY2022:06:58:04.323
PRE,006F,,,156346185,166173045,,29MAY2022:06:58:04.510
ASN,006F,,N,156346185,166173046,,29MAY2022:06:58:04.510
PRE,006A,,,156346186,166173047,,29MAY2022:06:58:04.650
ASN,006A,,N,156346186,166173048,,29MAY2022:06:58:04.650
PRE,,N,,156346188,166173049,,29MAY2022:06:58:04.950
ASN,026C,,N,156346188,166173050,,29MAY2022:06:58:04.950
PRE,019F,,,156346190,166173051,,29MAY2022:06:58:05.260
ASN,019F,,N,156346190,166173052,,29MAY2022:06:58:05.260
PRE,015F,,,156346193,166173053,,29MAY2022:06:58:05.717
ASN,015F,,N,156346193,166173054,,29MAY2022:06:58:05.717
PRE,015A,,,156346194,166173055,,29MAY2022:06:58:05.857
ASN,015A,,,156346194,166173056,,29MAY2022:06:58:05.857
ASN,016C,,N,156346195,166173057,,29MAY2022:06:58:06.110
ASN,012C,EX,N,156346196,166173058,,29MAY2022:06:58:06.297
ASN,027C,,N,156346197,166173059,,29MAY2022:06:58:06.500
PRE,009E,,,156346201,166173060,,29MAY2022:06:58:07.150
ASN,009E,,N,156346201,166173061,,29MAY2022:06:58:07.150
PRE,009D,,,156346202,166173062,,29MAY2022:06:58:07.400
ASN,009D,,N,156346202,166173063,,29MAY2022:06:58:07.400
PRE,008C,,,156346216,166173064,,29MAY2022:06:58:08.933
ASN,008C,,N,156346216,166173065,,29MAY2022:06:58:08.933
PRE,025E,,,156346217,166173066,,29MAY2022:06:58:09.090
ASN,025E,,N,156346217,166173067,,29MAY2022:06:58:09.090
PRE,027C,,,156346218,166173068,,29MAY2022:06:58:09.263
ASN,027C,,N,156346218,166173069,,29MAY2022:06:58:09.263
PRE,008A,,,156346259,166173070,,29MAY2022:06:58:13.840
ASN,008A,,N,156346259,166173071,,29MAY2022:06:58:13.840
PRE,025D,,,156346260,166173072,,29MAY2022:06:58:14.013
ASN,025D,,N,156346260,166173073,,29MAY2022:06:58:14.013
PRE,027B,,,156346261,166173074,,29MAY2022:06:58:14.190
ASN,027B,,N,156346261,166173075,,29MAY2022:06:58:14.190
ASN,008F,,N,156346279,166173076,,29MAY2022:06:58:16.153
PRE,025C,,,156346280,166173077,,29MAY2022:06:58:16.310
ASN,025C,,N,156346280,166173078,,29MAY2022:06:58:16.310
PRE,027A,,,156346281,166173079,,29MAY2022:06:58:16.480
ASN,027A,,N,156346281,166173080,,29MAY2022:06:58:16.480
ASN,008D,,N,156346322,166173081,,29MAY2022:06:58:21.307
PRE,025F,,,156346323,166173082,,29MAY2022:06:58:21.477
ASN,025F,,N,156346323,166173083,,29MAY2022:06:58:21.477
PRE,027D,,,156346324,166173084,,29MAY2022:06:58:21.647
ASN,027D,,N,156346324,166173085,,29MAY2022:06:58:21.647
PRE,003F,,,156346329,166173086,,29MAY2022:06:58:22.287
ASN,003F,,N,156346329,166173087,,29MAY2022:06:58:22.287
PRE,002A,,,156346332,166173088,,29MAY2022:06:58:22.643
ASN,002A,,N,156346332,166173089,,29MAY2022:06:58:22.643
PRE,003A,,,156346333,166173090,,29MAY2022:06:58:22.800
ASN,003A,,N,156346333,166173091,,29MAY2022:06:58:22.800
PRE,004D,,,156346334,166173092,,29MAY2022:06:58:22.927
ASN,004D,,,156346334,166173093,,29MAY2022:06:58:22.927
PRE,,N,,156346335,166173094,,29MAY2022:06:58:23.160
ASN,018E,,N,156346335,166173095,,29MAY2022:06:58:23.160
PRE,,N,,156346336,166173096,,29MAY2022:06:58:23.333
ASN,005E,,N,156346336,166173097,,29MAY2022:06:58:23.333
PRE,004D,,,156346339,166173098,,29MAY2022:06:58:23.740
ASN,004D,,N,156346339,166173099,,29MAY2022:06:58:23.740
PRE,004D,,,156346340,166173100,,29MAY2022:06:58:23.913
ASN,004D,,N,156346340,166173101,,29MAY2022:06:58:23.913
ASN,010A,,N,156346341,166173102,,29MAY2022:06:58:24.130
PRE,021D,,,156346342,166173103,,29MAY2022:06:58:24.380
ASN,021D,,N,156346342,166173104,,29MAY2022:06:58:24.380
PRE,026D,,,156346343,166173105,,29MAY2022:06:58:24.600
ASN,026D,,N,156346343,166173106,,29MAY2022:06:58:24.600
PRE,019D,,,156346346,166173107,,29MAY2022:06:58:25.207
ASN,019D,,N,156346346,166173108,,29MAY2022:06:58:25.207
PRE,019E,,,156346349,166173109,,29MAY2022:06:58:25.800
ASN,019E,,N,156346349,166173110,,29MAY2022:06:58:25.800
PRE,,N,,156346364,166173111,,29MAY2022:06:58:28.610
ASN,023C,,N,156346364,166173112,,29MAY2022:06:58:28.610
PRE,,N,,156346366,166173113,,29MAY2022:06:58:28.813
ASN,006B,,N,156346366,166173114,,29MAY2022:06:58:28.813
PRE,,N,,156346367,166173115,,29MAY2022:06:58:28.990
ASN,023A,,N,156346367,166173116,,29MAY2022:06:58:28.990
PRE,,N,,156346369,166173117,,29MAY2022:06:58:29.363
ASN,007C,,N,156346369,166173118,,29MAY2022:06:58:29.363
PRE,,N,,156346370,166173119,,29MAY2022:06:58:29.580
ASN,023B,,N,156346370,166173120,,29MAY2022:06:58:29.580
PRE,007D,,,156346372,166173121,,29MAY2022:06:58:29.957
ASN,007D,,N,156346372,166173122,,29MAY2022:06:58:29.957
ASN,020D,,N,156346373,166173123,,29MAY2022:06:58:30.177
PRE,019D,,,156346374,166173124,,29MAY2022:06:58:30.380
ASN,019D,,N,156346374,166173125,,29MAY2022:06:58:30.380
PRE,002A,,,156346377,166173126,,29MAY2022:06:58:30.937
ASN,002A,,N,156346377,166173127,,29MAY2022:06:58:30.937
PRE,002A,,,156346378,166173128,,29MAY2022:06:58:31.110
ASN,002A,,N,156346378,166173129,,29MAY2022:06:58:31.110
PRE,001A,,,156346379,166173130,,29MAY2022:06:58:31.343
ASN,001A,,N,156346379,166173131,,29MAY2022:06:58:31.343
PRE,001A,,,156346381,166173132,,29MAY2022:06:58:31.687
ASN,001A,,N,156346381,166173133,,29MAY2022:06:58:31.687
PRE,009B,,,156346386,166173134,,29MAY2022:06:58:32.267
ASN,009B,,N,156346386,166173135,,29MAY2022:06:58:32.267
PRE,006B,,,156346387,166173136,,29MAY2022:06:58:32.377
ASN,006B,,N,156346387,166173137,,29MAY2022:06:58:32.377
PRE,009C,,,156346398,166173138,,29MAY2022:06:58:33.763
ASN,009C,,N,156346398,166173139,,29MAY2022:06:58:33.763
PRE,006C,,,156346399,166173140,,29MAY2022:06:58:33.950
ASN,006C,,N,156346399,166173141,,29MAY2022:06:58:33.950
ASN,008A,,N,156346400,166173142,,29MAY2022:06:58:34.043
PRE,004D,,,156346405,166173143,,29MAY2022:06:58:34.623
PRE,020A,,,156346406,166173144,,29MAY2022:06:58:34.717
PRE,017D,,,156346407,166173145,,29MAY2022:06:58:34.793
PRE,010A,,,156346414,166173146,,29MAY2022:06:58:35.610
ASN,010A,,N,156346414,166173147,,29MAY2022:06:58:35.610
PRE,019A,,,156346415,166173148,,29MAY2022:06:58:35.780
ASN,019A,,N,156346415,166173149,,29MAY2022:06:58:35.780
ASN,015F,,N,156346416,166173150,,29MAY2022:06:58:35.937
PRE,004A,,,156346421,166173151,,29MAY2022:06:58:36.547
