CPR_MARKETINGCARRIER,CPR_OTHERCARRIER,CPR_FLIGHTNUMBER,CPR_OPERSUFFIX,CPR_BOARDPOINT,CPR_OFFPOINT,CPR_INBOUNDSERVICE,CPR_DEPARTDATE1,CPR_DEPARTDATE2,CPR_DEPARTTIME1,CPR_DEPARTTIME2,CPR_ARRIVALDATE1,CPR_ARRIVALDATE2,ID_PRODUCTLEVEL,ID_CUSTOMERLEVEL,CPR_TRANSPORTQUAL,CPR_AIRLINEDESIG,CPR_FLIGHTNO,CPR_FLIGHTSUFFIX,CPR_CODESHARETYPE,CPR_OTHERCOMPANY,CPR_COMPANYID,CPR_ORIGIN,CPR_DESTINATION,CPR_FAREFAMILY,CPR_NUMBER,CPR_WEIGHT,CPR_UNITQUAL,CPR_COMPSTATUS,CPR_FARE_INDICATOR,CPR_FARE_ACTION,CPR_FARE_QUALIFIER,CPR_FARE_AMOUNT,CPR_FARE_CURRENCY,CPR_SPL_NUMBER,CPR_PRV_CPNNUMBER,CPR_COUPON_COMPANY,CPR_DATALENGTH,CPR_DATATYPE,CPR_BINARYDATA,DWH_SNAPSHOTTIMESTAMP,CPR_ARRIVALTIME1,CPR_ARRIVALTIME2,CPR_DEPARTDATE,CPR_ARRIVALDATE
MH,,2621,,BKI,KUL,,,,,,,,155680891,54141671,,,,,,MH,1A,,,,,35,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:06:57:53.553,,,2022-05-28,
MH,,1336,,KUL,TGG,,,,,,,,155680892,54141671,,,,,,MH,1A,,,,,35,,NAU,,,,,,2.32246E+12,2,MH,,,,29MAY2022:06:57:53.740,,,2022-05-28,
MH,,2621,,BKI,KUL,,,,,,,,155680893,54141672,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32394E+12,1,MH,,,,29MAY2022:06:57:53.943,,,2022-05-28,
MH,,2610,,KUL,BKI,,,,,,,,155680894,54141672,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32394E+12,2,MH,,,,29MAY2022:06:57:54.100,,,2022-05-31,
MH,,2621,,BKI,KUL,,,,,,,,155680895,54141673,,,,,,MH,1A,,,,,40,,NAU,,,,,,2.32337E+12,1,MH,,,,29MAY2022:06:57:54.273,,,2022-05-28,
MH,,1396,,KUL,KBR,,,,,,,,155680896,54141673,,,,,,MH,1A,,,,,40,,NAU,,,,,,2.32337E+12,2,MH,,,,29MAY2022:06:57:54.430,,,2022-05-28,
MH,,1427,,KBR,KUL,,,,,,,,155680897,54141673,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:06:57:54.613,,,2022-06-08,
MH,,2638,,KUL,BKI,,,,,,,,155680898,54141673,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:06:57:54.710,,,2022-06-08,
MH,,2621,,BKI,KUL,,,,,,,,155680899,54141674,,,,,,MH,1A,,,,,,,NAU,,,,,,2.32337E+12,1,MH,,,,29MAY2022:06:57:54.863,,,2022-05-28,
MH,,2621,,BKI,KUL,,,,,,,,155680900,54141675,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:06:57:55.067,,,2022-05-28,
MH,,2640,,KUL,BKI,,,,,,,,155680901,54141675,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:06:57:55.240,,,2022-06-26,
MH,,2614,,KUL,BKI,,,,,,,,155680902,54141676,,,,,,MH,1A,,,,,40,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:06:57:55.393,,,2022-05-20,
MH,,2621,,BKI,KUL,,,,,,,,155680903,54141676,,,,,,MH,1A,,,,,40,,NAU,,,,,,2.32246E+12,2,MH,,,,29MAY2022:06:57:55.567,,,2022-05-28,
MH,,2614,,KUL,BKI,,,,,,,,155680904,54141677,,,,,,MH,1A,,,,,40,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:06:57:55.740,,,2022-05-20,
MH,,2621,,BKI,KUL,,,,,,,,155680905,54141677,,,,,,MH,1A,,,,,40,,NAU,,,,,,2.32246E+12,2,MH,,,,29MAY2022:06:57:55.910,,,2022-05-28,
