CPR_REFQUAL,CPR_PRIMEID,ID_PRODUPI,ID_PRODUCTLEVEL,DWH_SNAPSHOTTIMESTAMP
DID,30051092000D5BE3,189931500,155680891,29MAY2022:06:57:53.570
OID,30051092000D5BE4,189931501,155680891,29MAY2022:06:57:53.570
DID,30051092000D5BE4,189931502,155680892,29MAY2022:06:57:53.757
DID,300CC098002ADFC4,189931503,155680893,29MAY2022:06:57:53.960
DID,300CE098002C4A5E,189931504,155680894,29MAY2022:06:57:54.117
DID,3004D0900057776A,189931505,155680895,29MAY2022:06:57:54.273
OID,3004D0900057776F,189931506,155680895,29MAY2022:06:57:54.273
DID,3004D0900057776F,189931507,155680896,29MAY2022:06:57:54.430
DID,30084089002B4D2F,189931508,155680897,29MAY2022:06:57:54.613
DID,30084089002B4D35,189931509,155680898,29MAY2022:06:57:54.727
DID,2006DFC9000A63F1,189931510,155680899,29MAY2022:06:57:54.863
DID,3006E05500900FC2,189931511,155680900,29MAY2022:06:57:55.080
DID,3006E05500900FC3,189931512,155680901,29MAY2022:06:57:55.240
DID,3007202F00157FF9,189931513,155680902,29MAY2022:06:57:55.393
DID,3007202F00157FFB,189931514,155680903,29MAY2022:06:57:55.567
DID,3007202F00157FFA,189931515,155680904,29MAY2022:06:57:55.740
JID,10BFC200006E8EE6,189931516,155680904,29MAY2022:06:57:55.740
DID,3007202F00157FFC,189931517,155680905,29MAY2022:06:57:55.910
JID,10BFC200006E8EE7,189931518,155680905,29MAY2022:06:57:55.910
DID,300C90430022E802,189931519,155680906,29MAY2022:06:57:56.130
OID,300C90430022E803,189931520,155680906,29MAY2022:06:57:56.130
DID,300C90430022E803,189931521,155680907,29MAY2022:06:57:56.287
DID,300CE043002651D3,189931522,155680908,29MAY2022:06:57:56.443
OID,300CE043002651D4,189931523,155680908,29MAY2022:06:57:56.443
DID,300CE043002651D4,189931524,155680909,29MAY2022:06:57:56.613
DID,3003005E0061EC57,189931525,155680910,29MAY2022:06:57:56.803
DID,3002905E005D050E,189931526,155680911,29MAY2022:06:57:56.910
DID,3004309700AF340C,189931527,155680912,29MAY2022:06:57:57.020
DID,3004409700AFEE81,189931528,155680913,29MAY2022:06:57:57.130
DID,3009406B01B49C78,189931529,155680914,29MAY2022:06:57:57.287
DID,3009406B01B49C7A,189931530,155680915,29MAY2022:06:57:57.460
DID,3009406B01B49C79,189931531,155680916,29MAY2022:06:57:57.630
DID,3009406B01B49C7B,189931532,155680917,29MAY2022:06:57:57.807
DID,300D20880172D1B4,189931533,155680918,29MAY2022:06:57:57.977
DID,300EF08E00BA2227,189931534,155680919,29MAY2022:06:57:58.103
DID,300A00890040D63B,189931535,155680920,29MAY2022:06:57:58.273
DID,3001408B0010B7CF,189931536,155680921,29MAY2022:06:57:58.433
JID,10BFC200006EE572,189931537,155680921,29MAY2022:06:57:58.433
DID,3001B08B0015AEB8,189931538,155680922,29MAY2022:06:57:58.573
JID,10BFC200006EE573,189931539,155680922,29MAY2022:06:57:58.573
DID,3001408B0010B7D0,189931540,155680923,29MAY2022:06:57:58.700
DID,3001B08B0015AEB9,189931541,155680924,29MAY2022:06:57:58.873
DID,3001408B0010B7D1,189931542,155680925,29MAY2022:06:57:59.030
DID,3001B08B0015AEBA,189931543,155680926,29MAY2022:06:57:59.183
DID,3002E090003FA0A3,189931544,155680927,29MAY2022:06:57:59.327
DID,3009F0980008BCFE,189931545,155680928,29MAY2022:06:57:59.497
DID,3002E090003FA0A4,189931546,155680929,29MAY2022:06:57:59.670
DID,300D10950015822B,189931547,155680930,29MAY2022:06:57:59.810
DID,300FD09800500B5E,189931548,155680931,29MAY2022:06:57:59.967
DID,300D10950015822C,189931549,155680932,29MAY2022:06:58:00.123
DID,300D5097005B4488,189931550,155680933,29MAY2022:06:58:00.310
OID,300D5097005B4489,189931551,155680933,29MAY2022:06:58:00.310
DID,300D5097005B4489,189931552,155680934,29MAY2022:06:58:00.483
DID,300D7097005C9B0F,189931553,155680935,29MAY2022:06:58:00.670
DID,300D7097005C9B10,189931554,155680936,29MAY2022:06:58:00.807
DID,30012097014C881C,189931555,155680937,29MAY2022:06:58:00.947
DID,0140D94000B811C5,189931556,155680938,29MAY2022:06:58:01.087
DID,20031F9B00077CC8,189931557,155680939,29MAY2022:06:58:01.170
DID,3008109800B4C6BC,189931558,155680940,29MAY2022:06:58:01.277
DID,3008909800BA5D11,189931559,155680941,29MAY2022:06:58:01.403
DID,30062058007B8AF8,189931560,155680942,29MAY2022:06:58:01.543
JID,10BFC200006EE56F,189931561,155680942,29MAY2022:06:58:01.543
DID,3006D05800833E7B,189931562,155680943,29MAY2022:06:58:01.683
JID,10BFC200006EE570,189931563,155680943,29MAY2022:06:58:01.683
DID,30062058007B8AF9,189931564,155680944,29MAY2022:06:58:01.810
DID,3006D05800833E7C,189931565,155680945,29MAY2022:06:58:01.967
DID,30062058007B8AFA,189931566,155680946,29MAY2022:06:58:02.123
