ID_TICKETS,CPR_DOCUMENTNO,CPR_DOCUMENTTYPE,CPR_STATUS,CPR_ITEMNO,CPR_CPNNO,CPR_SUBQUALIFIER,CPR_LANGUAGE,CPR_SOURCE,CPR_ENCODING,CPR_FREETEXT,CPR_MARKETINGCOMP,ID_PRODUCTLEVEL,CPR_DOCUMENTNO1,CPR_DOCUMENTTYPE1,CPR_STATUS1,DWH_SNAPSHOTTIMESTAMP
61349390,2.32246E+12,E,ASS,,1,,,,,,,155680891,2.32246E+12,E,ASS,29MAY2022:06:57:53.617
61349391,2.32246E+12,E,ASS,,2,,,,,,,155680892,2.32246E+12,E,ASS,29MAY2022:06:57:53.803
61349392,2.32394E+12,E,ASS,,1,,,,,,,155680893,2.32394E+12,E,ASS,29MAY2022:06:57:54.007
61349393,2.32394E+12,E,ASS,,2,,,,,,,155680894,2.32394E+12,E,ASS,29MAY2022:06:57:54.163
61349394,2.32337E+12,E,ASS,,1,,,,,,,155680895,2.32337E+12,E,ASS,29MAY2022:06:57:54.337
61349395,2.32337E+12,E,ASS,,2,,,,,,,155680896,2.32337E+12,E,ASS,29MAY2022:06:57:54.490
61349396,2.32337E+12,E,ASS,,1,,,,,,,155680899,2.32337E+12,E,ASS,29MAY2022:06:57:54.927
61349397,2.32246E+12,E,ASS,,1,,,,,,,155680900,2.32246E+12,E,ASS,29MAY2022:06:57:55.143
61349398,2.32246E+12,E,ASS,,2,,,,,,,155680903,2.32246E+12,E,ASS,29MAY2022:06:57:55.630
61349399,2.32246E+12,E,ASS,,2,,,,,,,155680905,2.32246E+12,E,ASS,29MAY2022:06:57:55.990
61349400,2.32246E+12,E,ASS,,3,,,,,,,155680908,2.32246E+12,E,ASS,29MAY2022:06:57:56.507
61349401,2.32246E+12,E,ASS,,4,,,,,,,155680909,2.32246E+12,E,ASS,29MAY2022:06:57:56.660
61349402,2.32337E+12,E,ASS,,1,,,,,,,155680914,2.32337E+12,E,ASS,29MAY2022:06:57:57.350
61349403,2.32337E+12,E,ASS,,1,,,,,,,155680916,2.32337E+12,E,ASS,29MAY2022:06:57:57.710
61349404,2.32588E+12,E,ASS,,1,,,,,,,155680921,2.32588E+12,E,ASS,29MAY2022:06:57:58.497
61349405,2.32588E+12,E,ASS,,1,,,,,,,155680923,2.32588E+12,E,ASS,29MAY2022:06:57:58.763
61349406,2.32588E+12,E,ASS,,1,,,,,,,155680925,2.32588E+12,E,ASS,29MAY2022:06:57:59.077
61349407,2.32588E+12,E,ASS,,1,,,,,,,155680933,2.32588E+12,E,ASS,29MAY2022:06:58:00.403
61349408,2.32588E+12,E,ASS,,2,,,,,,,155680934,2.32588E+12,E,ASS,29MAY2022:06:58:00.573
